datetime,boiler_state
2025-10-26 02:00:00+02:00,0
2025-10-27 18:06:51.937713+01:00,1
2025-10-27 18:07:49.139047+01:00,0
2025-10-27 18:11:16.652287+01:00,1
2025-10-27 19:30:18.028439+01:00,0
2025-10-28 00:33:19.799865+01:00,0
2025-10-28 04:43:25.677414+01:00,0
2025-10-28 13:59:44.767415+01:00,1
2025-11-01 02:33:49.325548+01:00,0
2025-11-01 06:48:40.720752+01:00,0
2025-11-02 23:00:57.762722+01:00,0
